vessel_record_id,ssvid,n_shipname,n_callsign,imo,flag,owner,owner_flag,source_code
AUS-852687|IMO-8610992,503769200,KURIPEARL2,VJQ4772,8610992,AUS,COMCOVE,AUS,IMO
AUS-852737,503040630,SUEMANDA,,,AUS,,AUS,AUS
AUS-852761,503105040,CRYSTALENTERPRISE,,,AUS,,AUS,AUS
AUS-852780,503089890,TAROONA,,,AUS,,AUS,AUS
AUS-852782|IMO-8687177,503590700,INDIRAJEAN,,8687177,AUS,,AUS,AUS
AUS-852894,503080780,MORNINGSTAR4,,,AUS,,AUS,AUS
AUS-852897,503664600,WILDCARD,,,AUS,,AUS,AUS
AUS-852900|CCSBT-FV01346|IMO-7901045,503034770,SEATAS3,VJT3407,7901045,AUS,LUKIN FISHERIES,AUS,"CCSBT, IMO"
AUS-852909,503114670,GULFROSE,,,AUS,,AUS,AUS
AUS-853018|IMO-8610930,503037010,SOUTHPASSAGE,,8610930,AUS,,AUS,AUS
AUS-853018|IMO-8610930,503318000,SOUTHPASSAGE,VHQ7804,8610930,AUS,M G HOSCHKE,AUS,IMO
AUS-853054,503026950,IMPACT,VL9396,,AUS,,AUS,AUS
AUS-853060,503116430,OCEANSUN2,,,AUS,,AUS,AUS
AUS-853086,503757900,CASBEN,,,AUS,,AUS,AUS
AUS-853093,503099010,SEAPRIDE,,,AUS,,AUS,AUS
AUS-853125,503029410,PORTOFINO,VLW3848,,AUS,,AUS,AUS
AUS-853126,503501300,RACONTEUR2,,,AUS,,AUS,AUS
AUS-853136,503066450,STACYLEE,28040QB,,AUS,,AUS,AUS
AUS-853145|IMO-8810059,503005450,SARRIBA,VHS4758,8810059,AUS,,AUS,AUS
AUS-853152|CCSBT-FV04462|IMO-8564973,503016710,SYZYGYSEA,VHS6244,8564973,AUS,TONY S TUNA INTL,AUS,IMO
AUS-853158,503006580,CPJANE,,,AUS,,AUS,AUS
AUS-853165,503056410,HYLANDC,,,AUS,,AUS,AUS
AUS-853200,503092630,SHANNONRISE,,,AUS,,AUS,AUS
AUS-853210,503115140,TWEEDPACIFIC,,,AUS,,AUS,AUS
AUS-853270,503022630,LIBERTY2,,,AUS,,AUS,AUS
AUS-853298,503066460,AETOS,,,AUS,,AUS,AUS
AUS-853357|IMO-8810061,503375000,EXPLORERS,VJT3607,8810061,AUS,,AUS,AUS
AUS-853357|IMO-8810061,503375000,EXPLORERS,VJT3607,8810061,AUS,RAPTIS SONS,AUS,IMO
AUS-853400,503211500,INVESTIGATOR4,,,AUS,,AUS,AUS
AUS-853506,503012110,NELECIAJAY,,,AUS,,AUS,AUS
AUS-853510,503090550,ELIZABETHG,,,AUS,,AUS,AUS
AUS-853552,503125800,LN2,VMQ2863,,AUS,,AUS,AUS
AUS-853587,503512500,JUDYB,,,AUS,,AUS,AUS
AUS-853611|IMO-8915859,503061840,VENTURA,,8915859,AUS,,AUS,AUS
AUS-853611|IMO-8915859,503131750,VENTURA,,8915859,AUS,,AUS,AUS
AUS-853623,503019840,ANNIHILATOR,VZQ7300,,AUS,,AUS,AUS
AUS-853625,503127190,MISTY,,,AUS,,AUS,AUS
AUS-853625,503105900,MISTY,,,AUS,,AUS,AUS
AUS-853695,503018750,TALISMAN4,,,AUS,,AUS,AUS
AUS-853729,503057390,PANIA2,,,AUS,,AUS,AUS
AUS-853756,503061860,CELTICROSE,,,AUS,,AUS,AUS
AUS-853847,503090440,AVALON4,,,AUS,,AUS,AUS
AUS-853870,503021010,SATORI,SATORI,,AUS,,AUS,AUS
AUS-853884,503015330,RUBICON,,,AUS,,AUS,AUS
AUS-853899,503113910,NIHILATOR,,,AUS,,AUS,AUS
AUS-853915|CCSBT-FV06381|IMO-8781313|IOTC-13955|WCPFC-4444,503597400,MARKARNA,VMQ9740,8781313,AUS,LAVALLE FISHERIES,AUS,"CCSBT, IMO, IOTC, WCPFC"
AUS-853990,503132560,TURA,,,AUS,,AUS,AUS
AUS-853990,503351000,TURA,21023QB,,AUS,,AUS,AUS
AUS-854052,503054120,SHEGANDAWN,,,AUS,,AUS,AUS
AUS-854121,503119930,TSARINA,,,AUS,,AUS,AUS
AUS-854198,503641500,SOUTHERNIMAGE,VNW5767,,AUS,,AUS,AUS
AUS-854252,503107280,IRONOCKER,,,AUS,,AUS,AUS
AUS-854257,503631400,SEALION,854QD,,AUS,,AUS,AUS
AUS-854409,503101970,SOUTHERNCROSS3,,,AUS,,AUS,AUS
AUS-854454,503000650,SHOOTINGSTAR,VZBC,,AUS,,AUS,AUS
AUS-854473,503045440,WARLORD,,,AUS,,AUS,AUS
